psraid,sample,int_date,fcall,attempt,refusal,lang,version,cregion,state,density,usr,scregion,sstate,susr,igender,irace,llitext0,llitext,cpitext,form,form1,qs1,q1f1,q2f2,q3,q4a,q4b,q5a,q5b,q5cf1,q5df2,q9a,q9b,q9c,q9d,q9e,q14a,q14bf1,q14cf1,q14df1,q14ef2,q14ff2,q14gf2,q17a,q17b,q17c,q18a,q18b,q18c,q19,q20,q25,q26,q27,q28af1,q28bf2,q28cf2,q29,q30,q36a,q36bf1,q37f1,q37f1vb,Q37f1_OE1,Q37f1_OE2,q38,q40,q41,q42,q46a,q46b,q46cf1,q46df2,q47a,q47b,q47c,q47d,q48a,q48b,q48c,q48d,q48aa,q49,q50,q51,q52,q52vb,Q52_OE1,Q52_OE2,Q52_OE3,q53,q56a,q56b,q57,q58,q59,q60,q61,q62,q63f1,q69,q70f1a,q70f1avb,q70f1a_OE1,q70f1a_OE2,q70f1a_OE3,q71f2,q71f2vb,Q71f2_OE1,Q71f2_OE2,Q71f2_OE3,q72,sex,age,recage,recage2,educ2,receduc,hisp,race3m1,race3m2,race3m3,race3m4,racecmb,racethn,birth_hisp,usborn1a,lgbt,relig,chr,born,attend,q75,marital,q78,q79,parent,q80,q84,income,reg,party,partyln,ideo,teaparty3,hh1,hh3,ql1,ql1a,qc1,lc2,lc3,money2,phoneuse,phoneuse2,coweight,llweight,cweight,weight
101469.0,Landline,50413.0,130502.0,2.0,Yes,English,5/2 - changes,South,North Carolina,Lowest,Rural,South,North Carolina,R,Male,Hispanic,Some important issues today,Male first,,Form 2,,,,Right direction,Approve,Disapprove,Approve,Able to get things done,A strong leader,,Fights hard,Only a little,Only a little,Some,Some,A lot,Major changes,,,,Major changes,Works pretty well/Only minor changes,Completely rebuilt,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],1. Homosexuality should be accepted by society [OR],1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Democratic Party,Democratic Party,Democratic Party,Not working together,Republican leaders in Congress,There should be a way for those who meet certain requirements to stay in the country legally,"Be able to apply for permanent residency, but not U.S. citizenship",Decreased,,,,Somewhat,Like rewarding them for doing something wrong,Don't know/Refused (VOL.),,,,,,Inevitable,Control gun ownership,Not at all likely,"Yes, would",Favor,Favor,,Oppose,No,No,No,No,,,,,,Not at all,Too much,Should,,,,,,"Yes, both (VOL.)",Mostly favorable,Mostly favorable,Being gay or lesbian is just the way that some people choose to live?,"Yes, a lot of conflict",Yes,Some [OR],No,No,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Is a sin,Male,73.0,65+,65+,"Some postgraduate or professional schooling, no postgraduate degree (some graduate school)",Coll+,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"Yes, would",More than once a week,Very important,Married,,,No,Yes,,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Moderate,,2.0,2.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,1.2758620689655173,2.166666666666667,,1.0689655172413794
101474.0,Landline,50513.0,130501.0,6.0,Yes,English,5/2 - changes,Northeast,New York,2.0,Suburban,Northeast,New York,S,Male,White,Some important issues today,Female first,,Form 1,Form 1A,,Dissatisfied,,Disapprove,Don't know/Refused (VOL.),Don't know/Refused (VOL.),Don't know/Refused (VOL.),Not a strong leader,Stands up for what he believes in,,Some,Only a little,Some,Some,A lot,Completely rebuilt,Works pretty well/Only minor changes,Major changes,Works pretty well/Only minor changes,,,,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],1. Homosexuality should be accepted by society [OR],1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Republican Party,Republican Party,Don't know/Refused (VOL.),Not working together,[VOL. DO NOT READ] Don’t know/Refused,There should be a way for those who meet certain requirements to stay in the country legally,[VOL. DO NOT READ] Don't know/Refused,Kept at present level,,,,Somewhat,Don't think of it this way,Oppose,Don't know/Refused (VOL.),,,,,Inevitable,Protect the right of Americans to own guns,Not at all likely,"Yes, would",Favor,Favor,Oppose,,No,No,No,No,,,,,,Not too much,Right amount,Should,,,,,,"Yes, someone else",Mostly favorable,Don't know/Refused (VOL.),Being gay or lesbian is just the way that some people choose to live?,"Yes, a lot of conflict",Yes,Only one or two,No,No,Not upset,Don't know/Refused (VOL.),Answer given,ELTON JOHN,Elton John,,,,,,,,Is a sin,Female,62.0,55-64,50-64,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,",Roman Catholic (Catholic),,"No, would not",Once a week,Very important,Married,,,No,Yes,,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Conservative,No opinion either way,2.0,2.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,2.620689655172414,3.0,,3.172413793103449
101483.0,Landline,50213.0,130502.0,2.0,No,English,5/2 - changes,Midwest,Indiana,3.0,Suburban,Midwest,Indiana,S,Female,Hispanic,Leading newspapers and TV stations around the country,Female first,,Form 2,,,,Wrong track,Approve,Disapprove,Approve,Able to get things done,A strong leader,,Fights hard,None at all,Only a little,Only a little,None at all,None at all,Major changes,,,,Completely rebuilt,Works pretty well/Only minor changes,Completely rebuilt,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],1. Homosexuality should be accepted by society [OR],1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Neither (VOL.),Democratic Party,Democratic Party,Not working together,Republican leaders in Congress,There should be a way for those who meet certain requirements to stay in the country legally,"Be able to apply for permanent residency, but not U.S. citizenship",Decreased,,,,Don't know/Refused (VOL.),Like rewarding them for doing something wrong,Oppose,,,,,,Inevitable,Control gun ownership,Somewhat likely,"No, would not",Favor,Favor,,Favor,No,No,No,No,,,,,,A great deal,Don't know/Refused (VOL.),Should,,,,,,"Yes, someone else",Very favorable,Very favorable,People are born gay or lesbian,"No, no conflict",Yes,Some [OR],No,No,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Is not a sin,Female,52.0,45-54,50-64,Less than high school (Grades 1-8 or no formal schooling),HS grad or less,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Orthodox (Greek, Russian, or some other orthodox church)",,"Yes, would",Once or twice a month,Very important,Married,,,No,Yes,,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Moderate,,3.0,3.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,7.448275862068966,18.416666666666668,,4.931034482758621
101484.0,Landline,50213.0,130502.0,2.0,No,English,5/2 - changes,Midwest,Minnesota,Lowest,Rural,Midwest,Minnesota,R,Female,Black or African-American,Some important issues today,Female first,,Form 1,Form 1A,,Dissatisfied,,Don't know/Refused (VOL.),Approve,Disapprove,Not able to get things done,Not a strong leader,Doesn’t stand up for what he believes in,,Only a little,Some,A lot,Some,A lot,Major changes,Major changes,Completely rebuilt,Major changes,,,,2. Poor people have hard lives because government benefits Don't go far enough to help them live decently,2. Homosexuality should be discouraged by society,Don't know/Refused (VOL.),Neither (VOL.),Neither (VOL.),Neither (VOL.),Not working together,Republican leaders in Congress,They should not be allowed to stay in the country legally [OR],,Decreased,,,,A lot,Like rewarding them for doing something wrong,Strongly oppose,Strongly oppose,,,,,Inevitable,Protect the right of Americans to own guns,Very likely,"Yes, would",Favor,Favor,Oppose,,No,Yes,No,Yes,,Yes,,No,,Not at all,Too little,Should,,,,,,"Yes, both (VOL.)",Very unfavorable,Very unfavorable,Being gay or lesbian is just the way that some people choose to live?,"Yes, a lot of conflict",Yes,Some [OR],No,No,Somewhat upset,It makes you uncomfortable to be around homosexuals,Don't know/Refused,,Don't know/Refused,,,,,,,,Is a sin,Female,55.0,55-64,50-64,High school graduate (Grade 12 with diploma or GED certificate),HS grad or less,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"Yes, would",Once a week,Very important,Married,,,Yes,,,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Very conservative,,4.0,3.0,"Yes, have cell phone",,,,All or almost all calls on a regular home phone,,"Dual/few, some cell",Dual from LL,4.310344827586207,6.750000000000001,,3.2758620689655173
101490.0,Landline,50213.0,130502.0,2.0,No,English,5/2 - changes,South,Arkansas,2.0,Urban,South,Arkansas,U,Male,Hispanic,Leading newspapers and TV stations around the country,Female first,,Form 1,Form 1A,,Dissatisfied,,Disapprove,Disapprove,Disapprove,Not able to get things done,Not a strong leader,Stands up for what he believes in,,Some,Some,Some,Some,A lot,Completely rebuilt,Completely rebuilt,Completely rebuilt,Completely rebuilt,,,,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],Neither/both equally (VOL.),1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Neither (VOL.),Neither (VOL.),Republican Party,Working together,,There should be a way for those who meet certain requirements to stay in the country legally,Be able to apply for U.S. citizenship [OR SHOULD THEY],Decreased,,,,A lot,Like rewarding them for doing something wrong,Oppose,Favor,Answer given,BECAUSE I BELIEVE ITS NOT RELIGOUSLY CORRECT.,Morally wrong/Against religious beliefs/A sin/The Bible says,,Not inevitable,Protect the right of Americans to own guns,"Not too likely, or","No, would not",Favor,Favor,Oppose,,No,No,Yes,No,,,No,,,Somewhat,Right amount,Should not,Answer given,IT SEEMS LIKE SOMETHING THE GOVERNMENT IS TRYING TO GET THERE HANDS INTO.,Too much federal government power/Slippery slope,,,"No, nobody in household owns a gun",Mostly favorable,Mostly favorable,Being gay or lesbian is just the way that some people choose to live?,"Yes, a lot of conflict",Yes,A lot,Yes,Yes,Somewhat upset,It Doesn't bother you to be around homosexuals [OR],Don't know/Refused,,Don't know/Refused,,,,,,,,Is a sin,Male,62.0,55-64,50-64,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,",Christian (VOL.),,"Yes, would",A few times a year,Very important,Married,,,No,Yes,,"100 to under $150,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Moderate,Agree,2.0,2.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,1.7241379310344829,4.500000000000001,,1.310344827586207
101498.0,Landline,50213.0,130501.0,2.0,No,English,5/2 - changes,South,Florida,3.0,Suburban,South,Florida,S,Male,Hispanic,Leading newspapers and TV stations around the country,Female first,,Form 2,,,,Right direction,Disapprove,Disapprove,Disapprove,Not able to get things done,Not a strong leader,,Doesn't fight hard,Only a little,Some,Some,Some,Some,Major changes,,,,Works pretty well/Only minor changes,Works pretty well/Only minor changes,Works pretty well/Only minor changes,2. Poor people have hard lives because government benefits Don't go far enough to help them live decently,1. Homosexuality should be accepted by society [OR],2. The Islamic religion does not encourage violence more than others,Democratic Party,Democratic Party,Democratic Party,Not working together,Republican leaders in Congress,There should be a way for those who meet certain requirements to stay in the country legally,Be able to apply for U.S. citizenship [OR SHOULD THEY],Kept at present level,,,,Somewhat,Like rewarding them for doing something wrong,Favor,,,,,,Inevitable,Control gun ownership,Somewhat likely,"Yes, would",Favor,Favor,,Favor,No,No,No,No,,,,,,Not at all,Too much,Should,,,,,,"No, nobody in household owns a gun",Mostly favorable,Mostly favorable,People are born gay or lesbian,"Yes, a little conflict",Yes,Some [OR],Yes,No,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Is a sin,Female,84.0,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),HS grad or less,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"Yes, would",More than once a week,Very important,Divorced,Yes,No,No,Yes,,"20 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Moderate,,1.0,,"Yes, have cell phone",,,All or almost all calls on a regular home phone,,,"Dual/few, some cell",Dual from LL,1.827586206896552,2.9166666666666665,,1.7931034482758623
101499.0,Landline,50213.0,130501.0,2.0,No,English,5/2 - changes,Midwest,Ohio,Highest,Suburban,Midwest,Ohio,S,Female,Black or African-American,Leading newspapers and TV stations around the country,Female first,,Form 2,,,,Wrong track,Disapprove,Disapprove,Disapprove,Not able to get things done,Not a strong leader,,Doesn't fight hard,Only a little,Only a little,Only a little,Only a little,Some,Completely rebuilt,,,,Completely rebuilt,Major changes,Works pretty well/Only minor changes,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],2. Homosexuality should be discouraged by society,1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Republican Party,Republican Party,Republican Party,Not working together,Barack Obama [OR],They should not be allowed to stay in the country legally [OR],,Decreased,,,,A lot,Like rewarding them for doing something wrong,Oppose,,,,,,Inevitable,Protect the right of Americans to own guns,Not at all likely,"No, would not",Favor,Oppose,,Oppose,Yes,Yes,No,No,Yes,No,,,No,Somewhat,Right amount,Should,,,,,,"Yes, someone else",Mostly favorable,Mostly favorable,People are born gay or lesbian,"Yes, a lot of conflict",No,,,,,It makes you uncomfortable to be around homosexuals,,,,,,Answer given,I DONT THINK ITS NORMAL,"Not natural/Not normal/Choice, not born that way",,,Is a sin,Female,66.0,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),HS grad or less,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"Yes, would",Seldom,Very important,Married,,,No,Yes,,"30 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Moderate,Agree,3.0,3.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,4.206896551724138,6.750000000000001,,3.241379310344828
101502.0,Landline,50213.0,130501.0,2.0,No,English,5/2 - changes,Midwest,Ohio,4.0,Suburban,Midwest,Ohio,S,Female,White,Leading newspapers and TV stations around the country,Female first,,Form 2,,,,Wrong track,Disapprove,Approve,Disapprove,Not able to get things done,Not a strong leader,,Doesn't fight hard,Some,Some,Some,Some,Some,Major changes,,,,Completely rebuilt,Major changes,Completely rebuilt,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],1. Homosexuality should be accepted by society [OR],1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Republican Party,Republican Party,Republican Party,Not working together,[VOL. DO NOT READ] Other (SPECIFY),[VOL. DO NOT READ] Don't know/Refused,,Decreased,,,,A lot,Like rewarding them for doing something wrong,Don't know/Refused (VOL.),,,,,,Don't know/Refused (VOL.),Control gun ownership,Somewhat likely,"Yes, would",Favor,Favor,,Favor,No,No,No,No,,,,,,Not at all,Too much,Should,,,,,,"Yes, both (VOL.)",Mostly favorable,Mostly favorable,People are born gay or lesbian,"No, no conflict",Yes,A lot,Yes,Yes,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Don't know/Refused (VOL.),Female,74.0,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),HS grad or less,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"Yes, would",A few times a year,Very important,Married,,,No,Yes,,"40 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Liberal [OR],No opinion either way,2.0,2.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,2.344827586206897,5.500000000000001,,2.2758620689655173
101506.0,Landline,50213.0,130502.0,1.0,No,English,5/2 - changes,West,Arizona,Lowest,Urban,West,Arizona,U,Female,Black or African-American,Some important issues today,Female first,,Form 2,,,,Wrong track,Disapprove,Approve,Disapprove,Not able to get things done,Not a strong leader,,Doesn't fight hard,None at all,Only a little,Only a little,Only a little,Only a little,Works pretty well/Only minor changes,,,,Completely rebuilt,Major changes,Major changes,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],1. Homosexuality should be accepted by society [OR],1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Republican Party,Republican Party,Republican Party,Not working together,Barack Obama [OR],There should be a way for those who meet certain requirements to stay in the country legally,Be able to apply for U.S. citizenship [OR SHOULD THEY],Increased,,,,A lot,Like rewarding them for doing something wrong,Favor,,,,,,Inevitable,Protect the right of Americans to own guns,"Not too likely, or","Yes, would",Favor,Favor,,Favor,No,No,No,No,,,,,,Not at all,Right amount,Should,,,,,,"Yes, someone else",Mostly favorable,Mostly favorable,Being gay or lesbian is just the way that some people choose to live?,"No, no conflict",Yes,Some [OR],No,No,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Is not a sin,Female,54.0,45-54,50-64,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"Yes, would",A few times a year,Very important,Married,,,No,Yes,,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Conservative,Agree,2.0,2.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,3.344827586206897,7.333333333333334,,3.7931034482758625
101511.0,Landline,50413.0,130502.0,2.0,Yes,English,5/2 - changes,West,Arizona,Lowest,Suburban,West,Arizona,S,Male,White,Leading newspapers and TV stations around the country,Female first,,Form 2,,,,Wrong track,Disapprove,Approve,Disapprove,Able to get things done,Not a strong leader,,Fights hard,None at all,None at all,Only a little,Only a little,Don't know/Refused (VOL.),Completely rebuilt,,,,Completely rebuilt,Major changes,Major changes,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],2. Homosexuality should be discouraged by society,1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Republican Party,Republican Party,Republican Party,Not working together,Barack Obama [OR],There should be a way for those who meet certain requirements to stay in the country legally,[VOL. DO NOT READ] Don't know/Refused,Kept at present level,,,,Somewhat,Like rewarding them for doing something wrong,Oppose,,,,,,Inevitable,Control gun ownership,Very likely,"Yes, would",Favor,Favor,,Favor,No,No,No,No,,,,,,Not at all,Don't know/Refused (VOL.),Should,,,,,,"No, nobody in household owns a gun",Mostly unfavorable,Mostly unfavorable,Being gay or lesbian is just the way that some people choose to live?,"Yes, a lot of conflict",Yes,Some [OR],Yes,Yes,,Don't know/Refused (VOL.),,,,,,Answer given,"IT'S BIBLICAL, GOD DIDN'T MAKE ANY BODY THAT WAY",Morally wrong,"Not natural/Not normal/Choice, not born that way",,Is a sin,Female,86.0,65+,65+,High school graduate (Grade 12 with diploma or GED certificate),HS grad or less,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"Yes, would",More than once a week,Very important,Widowed,No,No,No,Yes,,"10 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Republican,Very conservative,No opinion either way,1.0,,"Yes, have cell phone",,,All or almost all calls on a regular home phone,,,"Dual/few, some cell",Dual from LL,1.1724137931034484,1.8333333333333335,,1.2758620689655173
101517.0,Landline,50213.0,130502.0,1.0,No,English,5/2 - changes,West,Arizona,2.0,Suburban,West,Arizona,S,Female,White,Leading newspapers and TV stations around the country,Male first,,Form 2,,,,Right direction,Approve,Disapprove,Approve,Not able to get things done,Not a strong leader,,Fights hard,Some,Some,A lot,Some,Some,Completely rebuilt,,,,Works pretty well/Only minor changes,Major changes,Major changes,2. Poor people have hard lives because government benefits Don't go far enough to help them live decently,1. Homosexuality should be accepted by society [OR],2. The Islamic religion does not encourage violence more than others,Democratic Party,Democratic Party,Democratic Party,Not working together,Republican leaders in Congress,There should be a way for those who meet certain requirements to stay in the country legally,"Be able to apply for permanent residency, but not U.S. citizenship",Increased,,,,A lot,Don't think of it this way,Strongly favor,,,,,,Inevitable,Control gun ownership,Not at all likely,Don't know/Refused (VOL.),Favor,Favor,,Favor,Yes,No,No,Yes,No,,,No,,Not too much,Too much,Should,,,,,,"No, nobody in household owns a gun",Don't know/Refused (VOL.),Don't know/Refused (VOL.),People are born gay or lesbian,"No, no conflict",Yes,[VOL. DO NOT READ] Dont know/Refused,No,No,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Is not a sin,Female,63.0,55-64,50-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD...)",Coll+,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,",Nothing in particular,,,Seldom,Somewhat important,Married,,,No,Yes,,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Other/Don't know/Refused (VOL.),Moderate,,2.0,2.0,"Yes, have cell phone",,,,All or almost all calls on a regular home phone,,"Dual/few, some cell",Dual from LL,2.413793103448276,4.333333333333334,,2.0344827586206895
101520.0,Landline,50213.0,130502.0,1.0,No,English,5/2 - changes,West,Arizona,Lowest,Suburban,West,Arizona,S,Female,White,Leading newspapers and TV stations around the country,Female first,,Form 2,,,,Wrong track,Disapprove,Approve,Disapprove,Not able to get things done,Not a strong leader,,Fights hard,Only a little,Only a little,Some,Only a little,Only a little,Major changes,,,,Completely rebuilt,Works pretty well/Only minor changes,Works pretty well/Only minor changes,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],1. Homosexuality should be accepted by society [OR],2. The Islamic religion does not encourage violence more than others,Republican Party,Republican Party,Republican Party,Not working together,[VOL. DO NOT READ] Both,There should be a way for those who meet certain requirements to stay in the country legally,"Be able to apply for permanent residency, but not U.S. citizenship",Kept at present level,,,,A lot,Like rewarding them for doing something wrong,Favor,,,,,,Inevitable,Protect the right of Americans to own guns,Not at all likely,"No, would not",Favor,Favor,,Oppose,No,No,No,No,,,,,,A great deal,Too much,Should,,,,,,Don't know/Refused (VOL.),Mostly favorable,Mostly favorable,People are born gay or lesbian,"No, no conflict",No,,,,,It Doesn't bother you to be around homosexuals [OR],,,,,,,,,,,Is not a sin,Female,56.0,55-64,50-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD...)",Coll+,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,","Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, etc.)",,"No, would not",A few times a year,Very important,Married,,,No,Yes,,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Conservative,No opinion either way,2.0,2.0,"Yes, have cell phone",,,,All or almost all calls on a regular home phone,,"Dual/few, some cell",Dual from LL,2.241379310344828,3.5833333333333335,,1.7241379310344829
101530.0,Landline,50513.0,130502.0,5.0,No,English,5/2 - changes,West,California,2.0,Suburban,West,California,S,Male,Black or African-American,Leading newspapers and TV stations around the country,Male first,,Form 1,Form 1B,,Dissatisfied,,Disapprove,Don't know/Refused (VOL.),Don't know/Refused (VOL.),Able to get things done,Not a strong leader,Doesn’t stand up for what he believes in,,Some,Some,Some,Only a little,Some,Major changes,Major changes,Major changes,Major changes,,,,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],2. Homosexuality should be discouraged by society,2. The Islamic religion does not encourage violence more than others,Republican Party,Republican Party,Republican Party,Not working together,[VOL. DO NOT READ] Both,There should be a way for those who meet certain requirements to stay in the country legally,"Be able to apply for permanent residency, but not U.S. citizenship",Kept at present level,,,,Somewhat,Like rewarding them for doing something wrong,Strongly oppose,Favor,Answer given,"BECAUSE MARRAIGE IS BETWEEN A MAN AND A WOMAN,THERE'S A DIFFERENCE BETWEEN MARRAIGE AND A LEGAL BOND. I BELIEVE THAT MARRAIGE IS ORDAINED BY GOD, AND I BELIEVE THAT IT SHOULD ALWAYS BE THAT WAY.",Definition of marriage is only for a man and a woman/God created a man and women/Man and  woman needed to procreate,Morally wrong/Against religious beliefs/A sin/The Bible says,Inevitable,Protect the right of Americans to own guns,Very likely,"No, would not",Favor,Oppose,Favor,,No,No,No,No,,,,,,A great deal,Right amount,Should,,,,,,"Yes, both (VOL.)",Mostly unfavorable,Mostly unfavorable,Being gay or lesbian is just the way that some people choose to live?,"No, no conflict",Yes,Some [OR],Yes,No,Somewhat upset,It makes you uncomfortable to be around homosexuals,,,,,,,,,,,Is a sin,Male,24.0,18-24,18-29,Two year associate degree from any college or university,Some coll/Assoc degree,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,",Mormon (Church of Jesus Christ of Latter-day Saints/LDS),,"Yes, would",More than once a week,Very important,Never been married,Yes,Yes,No,No,Yes,"10 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Conservative,No opinion either way,1.0,,"Yes, have cell phone",,,All or almost all calls on a cell phone,,,Dual/most cell,Dual from LL,2.5172413793103448,6.083333333333333,,1.5517241379310347
101531.0,Landline,50513.0,130502.0,3.0,Yes,English,5/2 - changes,West,Washington,Lowest,Rural,West,Washington,R,Female,White,Some important issues today,Female first,,Form 1,Form 1B,,Dissatisfied,,Disapprove,Disapprove,Disapprove,Not able to get things done,Not a strong leader,Doesn’t stand up for what he believes in,,Some,A lot,A lot,Only a little,A lot,Completely rebuilt,Completely rebuilt,Major changes,Works pretty well/Only minor changes,,,,1. Poor people today have it easy because they can get government benefits without doing anything in return [OR],1. Homosexuality should be accepted by society [OR],1. The Islamic religion is more likely than others to encourage violence among its believers [OR],Neither (VOL.),Democratic Party,Both equally (VOL.),Not working together,Barack Obama [OR],They should not be allowed to stay in the country legally [OR],,Decreased,,,,Somewhat,Like rewarding them for doing something wrong,Favor,Favor,,,,,Inevitable,Protect the right of Americans to own guns,Somewhat likely,"Yes, would",Favor,Favor,Oppose,,No,No,No,No,,,,,,Not too much,Right amount,Should,,,,,,"Yes, someone else",Mostly favorable,Mostly favorable,People are born gay or lesbian,"Yes, a little conflict",Yes,Some [OR],No,No,Not upset,Don't know/Refused (VOL.),,,,,,,,,,,Is a sin,Female,61.0,55-64,50-64,High school graduate (Grade 12 with diploma or GED certificate),HS grad or less,No,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",,,,White,"White, non-Hisp",,,"One: Heterosexual or straight,",Nothing in particular,,,Once or twice a month,Very important,Married,,,No,No,,"20 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Conservative,No opinion either way,2.0,2.0,"Yes, have cell phone",,,,Some on a cell phone and some on a regular home phone,,"Dual/few, some cell",Dual from LL,2.2068965517241383,3.166666666666667,,2.103448275862069
