,year,newspaper,count
110,2008,מקור ראשון הצופה,2
111,2009,"ידיעות אחרונות,",3
112,2009,הארץ,3
113,2009,ידיעות אחרונות ממון,5
114,2009,יתד השבוע,2
115,2009,הארץ מגזין מרקר,1
116,2009,"מעריב,",2
117,2010,"ידיעות אחרונות,",3
118,2010,"""הארץ"",",12
119,2010,ידיעות אחרונות ממון,7
120,2010,יתד השבוע,4
121,2010,הארץ מגזין מרקר,3
122,2010,הארץ גלריה,1
123,2010,"מעריב,",2
124,2011,הארץ,15
125,2011,זמן תל אביב,1
126,2011,יתד השבוע,6
127,2011,הארץ מגזין מרקר,2
128,2011,מעריב עסקים,2
129,2011,יתד נאמן,4
130,2011,"מעריב,",13
131,2011,מקור ראשון הצופה,2
132,2011,מקור ראשון,1
133,2011,"ידיעות אחרונות,",7
134,2011,ידיעות אחרונות המוסף לשבת,1
135,2011,מעריב עסקים מגזין שישי,1
136,2011,ידיעות אחרונות ממון,4
137,2011,מעריב המגזין,1
138,2012,יתד השבוע אקטואלי,2
139,2012,הארץ,6
140,2012,זמן תל אביב,1
141,2012,הארץ מגזין מרקר,1
142,2012,מעריב עסקים,1
143,2012,יתד נאמן,2
144,2012,ידיעות תל-אביב,1
145,2012,"מעריב,",5
146,2012,מקור ראשון הצופה,1
147,2012,"ידיעות אחרונות,",2
148,2012,מעריב עסקים מגזין שישי,1
149,2012,ידיעות אחרונות 7 ימים,1
150,2012,ידיעות אחרונות ממון,3
151,2012,מעריב המגזין,1
152,2012,יתד השבוע מגזין,1
153,2013,ידיעות אחרונות המוסף לשבת,1
154,2013,מקור ראשון יומן,1
155,2013,"ידיעות אחרונות,",8
156,2013,הארץ,2
157,2013,יתד השבוע,1
158,2013,ידיעות אחרונות ממון,1
159,2013,סופהשבוע,1
160,2013,"מעריב, גלובס על הבוקר",1
161,2013,הארץ גלריה,1
162,2013,"מעריב,",15
163,2013,מקור ראשון הצופה,2
164,2014,מעריב השבוע המגזין,1
165,2014,הארץ שישי,1
166,2014,הארץ,5
167,2014,"הארץ כנס תשתיות תחבורה ונדל""ן",2
168,2014,יתד נאמן,1
169,2014,מעריב השבוע,4
170,2014,סופהשבוע,1
171,2014,"מעריב,",1
172,2014,"מעריב, 100 גוונים של ירוק",1
173,2014,מקור ראשון,2
174,2014,מעריב סופהשבוע,1
175,2014,ידיעות אחרונות ממון,5
176,2014,"מעריב, גלובס על הבוקר",3
177,2014,מעריב סופהשנה,1
178,2015,מעריב השבוע המגזין,4
179,2015,מקור ראשון יומן,2
180,2015,הארץ שישי,1
181,2015,מקור ראשון צדק,1
182,2015,הארץ,5
183,2015,הארץ מגזין מרקר,2
184,2015,הארץ investment,1
185,2015,מעריב השבוע,24
186,2015,הארץ גלריה,1
187,2015,ידיעות אחרונות 24 שעות,1
188,2015,מקור ראשון,1
189,2015,"ידיעות אחרונות,",6
190,2015,מעריב סופהשבוע,1
191,2015,ידיעות אחרונות ממון,9
192,2015,הארץ מרקרוויק,1
193,2016,מעריב סופהשבוע גלובס,2
194,2016,"ידיעות אחרונות,",1
195,2016,"הארץ מגזין מרקר, נגישות",1
196,2016,"""הארץ"",",3
197,2016,הארץ מגזין מרקר,38
198,2016,ידיעות אחרונות ממון,5
199,2016,יתד השבוע,4
200,2016,יתד נאמן,1
201,2016,מעריב השבוע,12
202,2016,הארץ גלריה,1
203,2016,מקור ראשון,1
204,2016,הארץ מרקרוויק,1
205,2017,מעריב סופהשבוע גלובס,1
206,2017,מקור ראשון יומן,3
207,2017,הארץ שישי,1
208,2017,הארץ חג,1
209,2017,הארץ מגזין מרקר,31
210,2017,יתד נאמן,1
211,2017,מעריב השבוע,10
212,2017,הארץ מגזין מרקר תחבורה היום ומחר,1
213,2017,ידיעות אחרונות 24 שעות,1
214,2017,מקור ראשון דיוקן,1
215,2017,הארץ מרקרוויק,2
216,2018,מקור ראשון יומן,2
217,2018,מעריב השבוע המגזין,1
218,2018,הארץ מגזין מרקר,6
219,2018,מעריב עסקים,4
220,2018,יתד השבוע,1
221,2018,יתד נאמן,2
222,2018,מעריב השבוע,3
223,2018,מקור ראשון דיוקן,1
224,2018,מקור ראשון,2
225,2018,"ידיעות אחרונות,",1
226,2018,"הארץ מגזין מרקר, נגישות",1
227,2018,ידיעות אחרונות ממון,4
228,2018,הארץ מרקרוויק,4
229,2019,מעריב השבוע המגזין,4
230,2019,מקור ראשון יומן,4
231,2019,הארץ שישי,2
232,2019,הארץ,7
233,2019,הארץ מגזין מרקר,7
234,2019,מעריב עסקים,4
235,2019,יתד השבוע,1
236,2019,יתד נאמן,15
237,2019,מעריב השבוע,21
238,2019,ידיעות אחרונות 24 שעות,2
239,2019,מקור ראשון,3
240,2019,"ידיעות אחרונות,",14
241,2019,"מקור ראשון, ועידת מקור ראשון",1
242,2019,מעריב סופהשבוע,1
243,2019,"הארץ מגזין מרקר, נגישות",1
244,2019,ידיעות אחרונות ממון,9
245,2019,ידיעות אחרונות ממון שישי,2
246,2019,הארץ מרקרוויק,5
247,2020,מקור ראשון יומן,1
248,2020,מעריב השבוע המגזין,1
249,2020,"""הארץ"",",3
250,2020,הארץ מגזין מרקר,13
251,2020,יתד נאמן,4
252,2020,ידיעות אחרונות תל-אביב,1
253,2020,מעריב השבוע,13
254,2020,ידיעות אחרונות ממון שלישי,7
255,2020,"ידיעות אחרונות,",22
256,2020,ידיעות אחרונות המוסף לשבת,1
257,2020,מעריב סופהשבוע,2
258,2020,ידיעות אחרונות ממון שישי,1
259,2020,הארץ מרקרוויק,3
260,2021,מקור ראשון יומן,2
261,2021,ידיעות אחרונות ממון חג,1
262,2021,הארץ שישי,1
263,2021,"הארץ מגזין מרקר, 10 ערים",1
264,2021,הארץ,4
265,2021,הארץ מגזין מרקר,12
266,2021,מעריב השבוע,7
267,2021,ידיעות אחרונות ממון שלישי,8
268,2021,ידיעות תל-אביב,1
269,2021,הארץ גלריה,1
270,2021,"ידיעות אחרונות,",26
271,2021,ידיעות אחרונות המוסף לשבת,1
272,2021,ידיעות אחרונות ממון שישי,3
273,2021,הארץ מרקרוויק,2
274,2022,מקור ראשון יומן,2
275,2022,"ידיעות אחרונות,",12
276,2022,"הארץ מגזין מרקר, נדל""ן",1
277,2022,הארץ,1
278,2022,"הארץ, מגזין מרקר, תל אביב",1
279,2022,הארץ מגזין מרקר,4
280,2022,מעריב עסקים,1
281,2022,מעריב השבוע,4
